,Quantity,Rate,trial,type
0,0.22285719,5147.02877075,10,buy
1,0.29999999,5145.00000002,10,buy
2,0.29999994,5145.00000001,10,buy
3,0.05,5145.0,10,buy
4,0.37621591,5144.44186501,10,buy
5,2.0,5142.79,10,buy
6,3.0,5141.75,10,buy
7,0.05,5140.0,10,buy
8,0.00951431,5139.71352909,10,buy
9,3.8,5138.03000001,10,buy
10,5.0,5138.03,10,buy
11,1.6531,5135.00000001,10,buy
12,0.05,5135.0,10,buy
13,0.05,5133.0,10,buy
14,0.11464,5132.4236273,10,buy
15,0.05,5130.0,10,buy
16,0.6,5129.12532422,10,buy
17,0.57321,5129.12532421,10,buy
18,2.89948521,5128.85575536,10,buy
19,4.999,5126.0,10,buy
20,0.19694724,5124.48178635,10,buy
21,38.0,5124.48178634,10,buy
22,0.00953803,5124.48178633,10,buy
23,0.0012,5123.4938,10,buy
24,0.0099,5119.63432755,10,buy
25,0.0011,5119.6133,10,buy
26,0.19541033,5117.5,10,buy
27,0.00207452,5117.43342375,10,buy
28,0.0011,5117.31485,10,buy
29,0.0011,5109.0862,10,buy
30,0.0011,5108.82750001,10,buy
31,0.0011,5107.7131,10,buy
32,0.0011,5107.4743,10,buy
33,0.01958457,5106.06,10,buy
34,0.21806111,5100.0,10,buy
35,0.00370746,5095.94845487,10,buy
36,0.01943408,5092.703232,10,buy
37,0.0011,5090.221,10,buy
38,0.00980055,5089.0,10,buy
39,0.00207452,5085.63645122,10,buy
40,0.37292948,5084.63645122,10,buy
41,0.500948,5084.636,10,buy
42,0.5292948,5083.63645122,10,buy
43,0.00578675,5082.41470219,10,buy
44,0.15801234,5080.00000005,10,buy
45,0.00299356,5080.0,10,buy
46,0.01963209,5079.0,10,buy
47,0.0012,5076.85815,10,buy
48,0.01,5073.86200455,10,buy
49,0.00075734,5072.32473219,10,buy
50,0.05494273,5071.96730772,10,buy
51,19.0,5070.82836333,10,buy
52,0.00154929,5070.716,10,buy
53,1.00478996,5070.0,10,buy
54,0.02131966,5065.74678055,10,buy
55,0.01,5065.6445,10,buy
56,0.24096657,5065.43221432,10,buy
57,0.0110136,5064.95480935,10,buy
58,0.01,5063.4555,10,buy
59,0.015,5062.24,10,buy
60,0.01146234,5061.5,10,buy
61,0.00294697,5061.0,10,buy
62,0.01476913,5060.79,10,buy
63,0.01976093,5060.49,10,buy
64,0.00722508,5060.0,10,buy
65,0.00512834,5058.25191685,10,buy
66,0.20485165,5058.0,10,buy
67,0.01977992,5055.63156799,10,buy
68,0.38358606,5054.0,10,buy
69,0.00207452,5053.83947868,10,buy
70,0.00131685,5053.70320678,10,buy
71,0.40274745,5053.00156809,10,buy
72,0.00493613,5052.02586049,10,buy
73,0.005,5052.0,10,buy
74,0.0012464,5051.27950223,10,buy
75,0.00421963,5050.25191685,10,buy
76,0.72691893,5050.0,10,buy
77,0.00075734,5049.59396711,10,buy
78,0.039,5049.2582,10,buy
79,0.01115846,5049.19250185,10,buy
80,0.02167242,5046.814125,10,buy
81,0.02179856,5046.204365,10,buy
